Type,Design section,D10xx,D11xx,D12xx,D14xx,D13xx,D20xx,D15xx L1,D15xx L2,D30xx K1,R K1,D30xx K2,R K2,D30xx MID,R MID
BET01,K13ES,10ø32c150-D1021,10ø32c150-D1110, ,10ø20c135-D1414,10ø20c150-D1300,10ø12c150-D2038,81ø16c150-D1500,81ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,42ø12c300c600-D3000,2
BET02,K13ES,10ø32c150-D1020,10ø32c150-D1109, ,10ø20c145-D1412,10ø20c150-D1300,10ø12c150-D2037,80ø16c150-D1500,80ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,42ø12c300c600-D3000,2
BET03,K13ES,10ø32c150-D1019,10ø32c150-D1108, ,10ø20c135-D1413,10ø20c150-D1300,10ø12c150-D2036,79ø16c150-D1500,79ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,40ø12c300c600-D3000,2
BET04,K13ES,10ø32c150-D1018,10ø32c150-D1107, ,10ø20c145-D1412,10ø20c150-D1300,10ø12c150-D2035,78ø16c150-D1500,78ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,40ø12c300c600-D3000,2
BET05,K13ES,10ø32c150-D1017,10ø32c150-D1106, ,10ø20c125-D1410,10ø20c150-D1300,10ø12c150-D2034,77ø16c150-D1500,77ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,38ø12c300c600-D3000,2
BET06,K13ES,10ø32c150-D1016,10ø32c150-D1105, ,10ø20c150-D1411,10ø20c150-D1300,10ø12c150-D2033,76ø16c150-D1500,76ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,38ø12c300c600-D3000,2
BET07,K13ES,10ø32c150-D1015,10ø32c150-D1104, ,10ø20c140-D1410,10ø20c150-D1300,10ø12c150-D2032,76ø16c150-D1500,76ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,38ø12c300c600-D3000,2
BET08,K13ES,10ø32c150-D1014,10ø32c150-D1103, ,10ø20c140-D1410,10ø20c150-D1300,10ø12c150-D2031,75ø16c150-D1500,75ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,36ø12c300c600-D3000,2
BET09,K13ES,10ø32c150-D1013,10ø32c150-D1102, ,10ø20c140-D1409,10ø20c150-D1300,10ø12c150-D2030,74ø16c150-D1500,74ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,36ø12c300c600-D3000,2
BET10,K13ES,10ø32c150-D1012,10ø32c150-D1101, ,10ø20c140-D1409,10ø20c150-D1300,10ø12c150-D2029,74ø16c150-D1500,74ø16c150-D1500,40ø16c300c300-D3001,4,36ø16c300c300-D3001,4,36ø12c300c600-D3000,2
BET11,K13ES,7ø32c150-D1011,7ø32c150-D1100, ,7ø20c150-D1404,7ø20c150-D1300,7ø12c150-D2028,73ø16c150-D1508,73ø16c150-D1508,30ø16c300c300-D3001,3,27ø16c300c300-D3001,3,17ø12c300c600-D3000,1
BET12,A,10ø25c150-D1039,12ø25c150-D1113,2ø32c150-D1228,12ø20c130-D1410,12ø20c150-D1300,12ø12c150-D2027,72ø16c150-D1501,72ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,34ø12c300c600-D3000,2
BET13,A,10ø25c150-D1038,12ø25c150-D1113,2ø32c150-D1227,12ø20c135-D1409,12ø20c150-D1300,12ø12c150-D2026,72ø16c150-D1501,72ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,34ø12c300c600-D3000,2
BET14,A,10ø25c150-D1037,12ø25c150-D1113,2ø32c150-D1226,12ø20c135-D1409,12ø20c150-D1300,12ø12c150-D2025,71ø16c150-D1501,71ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,32ø12c300c600-D3000,2
BET15,A,10ø25c150-D1036,12ø25c150-D1113,2ø32c150-D1225,12ø20c135-D1410,12ø20c150-D1300,12ø12c150-D2024,70ø16c150-D1501,70ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,32ø12c300c600-D3000,2
BET16,A,10ø25c150-D1035,12ø25c150-D1113,2ø32c150-D1224,12ø20c135-D1406,12ø20c150-D1300,12ø12c150-D2023,70ø16c150-D1501,70ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,32ø12c300c600-D3000,2
BET17,A,10ø25c150-D1034,12ø25c150-D1113,2ø32c150-D1223,12ø20c135-D1407,12ø20c150-D1300,12ø12c150-D2022,69ø16c150-D1501,69ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,30ø12c300c600-D3000,2
BET18,A,10ø25c150-D1033,12ø25c150-D1113,2ø32c150-D1222,12ø20c135-D1409,12ø20c150-D1300,12ø12c150-D2021,69ø16c150-D1501,69ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,30ø12c300c600-D3000,2
BET19,A,10ø25c150-D1032,12ø25c150-D1113,2ø32c150-D1221,12ø20c135-D1407,12ø20c150-D1300,12ø12c150-D2020,68ø16c150-D1501,68ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,30ø12c300c600-D3000,2
BET20,A,10ø25c150-D1031,12ø25c150-D1113,2ø32c150-D1220,12ø20c135-D1409,12ø20c150-D1300,12ø12c150-D2019,68ø16c150-D1501,68ø16c150-D1501,50ø12c300c300-D3000,5,45ø12c300c300-D3000,5,30ø12c300c600-D3000,2
BET21,A,7ø25c150-D1030,9ø25c150-D1113,2ø32c150-D1219,9ø20c135-D1407,9ø20c150-D1300,9ø12c150-D2018,67ø16c150-D1507,67ø16c150-D1507,30ø12c300c300-D3000,3,27ø12c300c300-D3000,3,14ø12c300c600-D3000,1
BET22,A,11ø25c150-D1029,13ø25c150-D1112,2ø32c150-D1218,13ø20c135-D1407,13ø20c150-D1300,13ø12c150-D2017,67ø16c150-D1502,67ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,30ø12c300c600-D3000,2
BET23,A,11ø25c150-D1028,13ø25c150-D1112,2ø32c150-D1217,13ø20c140-D1405,13ø20c150-D1300,13ø12c150-D2016,67ø16c150-D1502,67ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,30ø12c300c600-D3000,2
BET24,A,11ø25c150-D1027,13ø25c150-D1112,2ø32c150-D1216,13ø20c140-D1409,13ø20c150-D1300,13ø12c150-D2015,66ø16c150-D1502,66ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET25,A,11ø25c150-D1026,13ø25c150-D1112,2ø32c150-D1215,13ø20c140-D1408,13ø20c150-D1300,13ø12c150-D2014,66ø16c150-D1502,66ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET26,A,11ø25c150-D1025,13ø25c150-D1112,2ø32c150-D1214,13ø20c140-D1408,13ø20c150-D1300,13ø12c150-D2013,66ø16c150-D1502,66ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET27,A,11ø25c150-D1025,13ø25c150-D1112,2ø32c150-D1214,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2013,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET28,A,11ø25c150-D1024,13ø25c150-D1112,2ø32c150-D1213,13ø20c140-D1404,13ø20c150-D1300,13ø12c150-D2012,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET29,A,11ø25c150-D1023,13ø25c150-D1112,2ø32c150-D1212,13ø20c140-D1406,13ø20c150-D1300,13ø12c150-D2011,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET30,A,8ø25c150-D1023,10ø25c150-D1112,2ø32c150-D1212,10ø20c145-D1403,10ø20c150-D1300,10ø12c150-D2011,65ø16c150-D1509,65ø16c150-D1509,36ø12c300c300-D3000,4,36ø12c300c300-D3000,4,28ø12c300c600-D3000,2
BET31,A,11ø25c150-D1023,13ø25c150-D1111,2ø32c150-D1212,13ø20c135-D1401,13ø20c150-D1300,13ø12c150-D2011,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET32,A,11ø25c150-D1023,13ø25c150-D1111,2ø32c150-D1212,13ø20c140-D1400,13ø20c150-D1300,13ø12c150-D2011,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET32,A,11ø25c150-D1023,13ø25c150-D1111,2ø32c150-D1212,13ø20c140-D1400,13ø20c150-D1300,13ø12c150-D2011,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET33,A,11ø25c150-D1022,13ø25c150-D1111,2ø32c150-D1211,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET34,A,11ø25c150-D1022,13ø25c150-D1111,2ø32c150-D1211,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2010,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET34,A,11ø25c150-D1022,13ø25c150-D1111,2ø32c150-D1211,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2010,65ø16c150-D1502,65ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,28ø12c300c600-D3000,2
BET35,A,11ø25c150-D1022,13ø25c150-D1111,2ø32c150-D1211,13ø20c135-D1402,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET35,A,11ø25c150-D1022,13ø25c150-D1111,2ø32c150-D1211,13ø20c135-D1402,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET36,A,8ø25c150-D1022,10ø25c150-D1111,2ø32c150-D1211,10ø20c140-D1401,10ø20c150-D1300,10ø12c150-D2010,64ø16c150-D1509,64ø16c150-D1509,36ø12c300c300-D3000,4,36ø12c300c300-D3000,4,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET38,B,12ø32c150-D1010, ,2ø25c150-D1210,12ø20c145-D1400,12ø20c150-D1300,12ø12c150-D2010,64ø16c150-D1508,64ø16c150-D1508,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET39,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c130-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET40,B,12ø32c150-D1010, ,2ø25c150-D1210,12ø20c150-D1400,12ø20c150-D1300,12ø12c150-D2010,64ø16c150-D1508,64ø16c150-D1508,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET39,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c130-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
